Model,Precision,Recall,F1-Score,PR-AUC,ROC-AUC
XGBoost,0.33428266286934855,0.5072933549432739,0.4030042918454936,0.4626346941677704,0.886313689822553
LightGBM,0.30791693705386114,0.5126958400864398,0.3847557267382931,0.45932459511410395,0.8880110720203884
Random Forest,0.2190207972270364,0.546191247974068,0.31266429565486314,0.4119486861983549,0.8532277301101153
Logistic Regression,0.0,0.0,0.0,0.056342048180650736,0.6111598930564264
